IDH2hyper	WT1hyper	CEBPahyper	TET2Hyper	IDH1Hyper	DNMT3Ahyper
IFITM5	KCNJ12	CCT3	SIRPA	RASSF5	
NAP1L4	UNC119	C1orf182	CD93	FAIM3	
OSBPL5	SEZ6	RHBG	CST11	C1orf116	
AURKAIP1	TP53I13	HAPLN2	PLUNC	C4BPB	
RCN1	ANKRD13B	MMP23A	BLCAP	PRKCZ	
WT1	SLC6A4	MMP23B	LPIN3	CD55	
MRGPRE	CDK5R1	CRABP2	CDH22	PLXNA2	
QSER1	MYO1D	C1orf66	SLC13A3	CDA	
C11orf41	ACCN1	SH2D2A	ZNFX1	ANO4	
CD59	ITGAE	NTRK1	B4GALT5	GABARAPL1	
ABTB2	NEUROD2	INSRR	FAM65C	SERTAD4	
ELF5	ERBB2	C1orf92	PCK1	CHST11	
EHF	ZPBP2	TNKS1BP1	TRMT6	RAD52	
CD44	ORMDL3	P2RX3	GTPBP5	FOXN4	
SLC1A2	MED24	PRG3	LAMA5	RAD9B	
LDLRAD3	SNORD124	RTN4RL2	C20orf166	VPS29	
PRR5L	RAPGEFL1	SERPING1	C20orf200	CUX2	
ART1	JUP	YPEL4	CHRNA4	SH2B3	
B4GALNT4	NKIRAS2	CLP1	KCNQ2	ALDH2	
VWA1	DHX58	FCRL5	RTEL1	TPCN1	
ATAD3C	PTRF	CD1D	ZGPAT	RBM19	
RHOG	WNK4	DTX4	PRPF6	TRAF5	
SIGIRR	SOST	AIM2	C2orf48	RD3	
PRDM2	NAGS	CADM3	C21orf34	RNFT2	
ANO9	PYY	PATL1	GPR39	TESC	
MIR670	ITGA2B	MRPL16	TFF2	NOS1	
HSD17B12	FZD2	FCRL6	TFF1	ETV6	
ACCSL	C17orf104	VSIG8	UBASH3A	PXN	
TRIM21	ADAM11	C1orf204	CBS	UNC119B	
NBPF9	SH3D20	IGSF9	C21orf125	P2RX7	
TSPAN18	SPNS2	KCNJ9	C21orf84	CAMKK2	
TP53I11	LOC100272146	PLEKHM2	KRTAP12-4	KDM2B	
ATAD3A	C17orf57	PEA15	C21orf29	LOC338799	
PDE4DIP	MIR196A1	VANGL2	ITGB2	BCL2L14	
PRDM11	C17orf93	CCDC86	COL18A1	BCL7A	
POLR3GL	PRAC	GPR44	COL6A2	VPS37B	
ANKRD34A	CHRNE	CD48	EPC2	MPHOSPH9	
RBM8A	C17orf107	TMEM132A	ACVR1C	SETD8	
CD160	CACNA1G	ITLN1	GRB14	ZNF664	
PDZK1	ZFP3	CD5	SCN2A	NCOR2	
SLC35C1	ZNF232	TSTD1	PDE11A	SCARB1	
CRY2	LHX8	DAK	NRP2	AACS	
C11orf94	LPO	USP21	PLEKHM3	TMEM132B	
C11orf40	HSF5	PPOX	CXCR2	LOH12CR1	
PHF21A	TBX2	TMEM216	SLC11A1	APOLD1	
CREB3L1	LIMD2	NDUFS2	PLCD4	C1orf86	
DGKZ	TEX2	ADAMTS4	TUBA4A	GPRC5A	
MDK	LOC146880	SYT7	SPEG	STX2	
AMBRA1	LOC440461	DAGLA	PI4KAP1	GPR133	
LOC728989	SOX9	C11orf9	DOCK10	LOC116437	
PDIA3P	NEURL4	FADS2	DNER	MMP17	
ARHGAP1	KIF19	AHNAK	GPR55	ULK1	
F2	GRIN2C	EEF1G	NMUR1	GALNT9	
LRP4	TNK1	TUT1	ALPP	PGAM5	
BCL9	CAMTA1	EML3	UGT1A5	GOLGA3	
MADD	TSEN54	MTA2	UGT1A6	ATF7IP	
NR1H3	LLGL2	UBXN1	UGT1A10	HIST4H4	
MYBPC3	TRIM47	LRRN4CL	UGT1A9	MGP	
CUGBP1	GALR2	BSCL2	UGT1A7	USH2A	
FAM180B	SCARNA16	NXF1	UGT1A8	LOC100292680	
C1QTNF4	C17orf86	SLC3A2	TRPM8	SKI	
SSU72	CBX4	DDR2	IQCA1	ECE1	
C1orf70	SLC26A11	SCT	TMPRSS6	MGST1	
AGBL2	SGSH	ZBTB17	KLHL29	PLEKHA5	
PTPRJ	NPTX1	CCKBR	GALR3	CACNA2D4	
PTDSS2	ALOX15B	LGALS12	LRRFIP1	HSPG2	
LOC645166	ABR	HSPB7	TRAF3IP1	MIA3	
LOC388692	GAS7	MARK2	APOBEC3B	CACNA1C	
LOC728855	FAM38B	DRD4	HDAC4	BCAT1	
LOC441601	CIDEA	NAA40	ENTHD1	KRAS	
RPRD2	ANKRD30B	CLCNKB	RNPEPL1	EPHX1	
RNH1	OSBPL1A	MACROD1	CSDC2	TMEM63A	
KIAA1026	KCTD1	DNAJC4	GAL3ST2	LEFTY2	
ARNT	DSC3	VEGFB	NEU4	MIXL1	
LASS2	NOL4	PPP1R14B	C2orf85	LIN9	
ANXA9	BRUNOL4	GPR137	SCUBE1	PARP1	
FAM63A	SIGLEC15	BAD	FAM19A5	ITPKB	
PRUNE	ST8SIA5	KCNK4	TTLL8	TRIM17	
CDC42SE1	MAPK4	PRDX5	SAPS2	FAR2	
MLLT11	DCC	CCDC88B	C2orf18	GALNT2	
LYSMD1	WDR63	SMPD1	GCKR	EPHB2	
TMOD4	DDAH1	RPS6KA4	PLB1	COG2	
CGN	NETO1	SLC22A12	SLC8A1	GNPAT	
TUFT1	GALR1	APBB1	EPAS1	C1orf131	
MIR554	NFATC1	NRXN2	SOCS5	FAM60A	
SNX27	PARD6G	PYGM	BCL11A	EGLN1	
OR52A1	PLEKHN1	MEN1	SPRED2	TSNAX-DISC1	
RORC	ICAM5	CDC42BPG	AAK1	DISC1	
THEM5	GPX4	BATF2	RNF144A	KIAA1383	
S100A10	RGL3	NAALADL1	LOC388965	TSPAN9	
S100A11	ZNF833	CDCA5	VWA3B	PEX10	
LCE3E	BARHL2	TM7SF2	HRH1	TARBP1	
LCE3A	PRDX2	C11orf2	VGLL4	TBCE	
HBBP1	RTBDN	TIGD3	ATG7	GNG4	
HBG2	C19orf57	LTBP3	MYLK	EDARADD	
SPRR3	CC2D1A	LMX1A	KALRN	C1orf213	
LELP1	PTGER1	FAM89B	ALDH1L1	ZNF436	
PGLYRP4	APC2	ARHGEF19	MCM2	EFCAB4B	
S100A9	EPHX3	MAP3K11	IQSEC1	CHRM3	
S100A8	NXNL1	RXRG	NUP210	RPL11	
HRAS	COMP	KAT5	FBLN2	LYPLA2	
S100A6	GDF1	RNASEH2C	TPRXL	GALE	
S100A5	LASS1	OVOL1	TM4SF18	HMGCL	
S100A3	LOC729991-MEF2B	EFEMP2	PLCH1	PLCH2	
S100A2	MEF2B	FOSL1	C3orf33	SDCCAG8	
S100A13	NCAN	CATSPER1	GFM1	EFCAB2	
S100A1	RPSAP58	GAL3ST3	SCHIP1	KIF26B	
C1orf77	DIRAS1	PACS1	SLC7A14	ANO6	
OR51B6	VSTM2B	KLC2	CHRD	GRHL3	
SLC27A3	GNA11	RAB1B	C3orf70	SLC38A2	
DENND4B	RHPN2	CD248	IGF2BP2	ZNF695	
TPM3	CHST8	RIN1	BCL6	ZNF496	
MIR190B	UBA2	FAM78B	LEPREL1	HDAC7	
ATP8B2	LOC643719	PELI3	LRRC15	VDR	
CHRNB2	FXYD1	ZDHHC24	TMEM44	RCAN3	
ADAR	FXYD7	ACTN3	TM4SF19	LALBA	
KCNN3	HSPB6	RBM4B	DLG1	ZNF692	
TMEM51	C19orf55	SPTBN2	IQCG	CACNB3	
C1orf126	ALKBH6	DCHS1	THRB	TUBA1C	
PMVK	CLIP3	PC	TRNT1	SPATS2	
SHC1	TBCB	LRFN4	CMTM7	FAM186B	
LENEP	POLR2I	SYT12	HHATL	NCKAP5L	
ZBTB7B	ZNF570	RHOD	TGM4	LIMA1	
DCST1	ZNF569	ILDR2	CCR5	LARP4	
DCST2	PPP1R14A	ADRBK1	PLXNB1	BIN2	
ADAM15	RINL	ANKRD13D	PFKFB4	SLC4A8	
GBAP1	FBXO17	DUSP27	UCN2	RUNX3	
FAM189B	SHKBP1	LOC100130987	LAMB2L	ACVR1B	
PKLR	SPTBN4	POLD4	MST1	MMEL1	
RUSC1	LYPD3	ATPGD1	RNF123	KRT80	
FDPS	ZFP112	CORO1B	MST1R	KRT6A	
C1orf104	PPP1R13L	C1orf144	ZMYND10	KRT74	
LRRC56	CCDC61	PITPNM1	GRM2	IGFBP6	
LOC645676	CCDC8	NUDT8	ARHGEF3	SOAT2	
ASH1L	PNMAL2	TBX10	FAM107A	RARG	
FHAD1	ARHGAP29	CREG1	FAM3D	ATP5G2	
C11orf35	DACT3	NECAP2	MAGI1	ITGA5	
ARHGEF2	CCDC9	UNC93B1	GRM7	GTSF1	
ROBLD3	MEIS3	LRP5	ROBO1	RDH5	
LMNA	IZUMO1	TPCN2	WDR1	WIBG	
BGLAP	CGB1	MYEOV	CLNK	SILV	
PAQR6	SNAR-G1	ATP1B1	LOC100130872	CDK2	
TMEM79	KCNA7	ORAOV1	LOC100130872-SPON2	ERBB3	
SMG5	MADCAM1	NADK	TACC3	PA2G4	
MIB2	PTH2	FGF3	WWC2	MYL6	
CCT3	CPT1C	MST1P2	FAT1	IL23A	
C1orf182	C19orf76	CTTN	ZFYVE28	SPRYD4	
RHBG	SHANK1	ESPNP	RGS12	MIR1228	
OR5M10	KLK7	SHANK2	HGFAC	LRP1	
OR8U8	ZNF578	EPS8L2	EVC	GLI1	
MEF2D	CNN3	RBMXL2	MAN2B2	ARHGAP9	
IQGAP3	CACNG8	DHCR7	TBC1D14	MAN1C1	
TTC24	MIR935	FAM86C	SORCS2	PPM1H	
BCAN	PLAC2	LRTOMT	PCGF3	PLEKHG6	
CRABP2	IL11	DNM3	DMP1	SCNN1A	
TRIM78P	ZNF580	PDE2A	ROPN1L	CD27	
ISG20L2	ZNF154	ARAP1	ANKRD33B	LOC678655	
C1orf66	ZNF135	P2RY2	EPB41L4A	B4GALNT3	
MRPL24	ZSCAN18	P2RY6	TNFAIP8	NCAPD2	
HDGF	ARHGEF18	ATP13A2	TERT	CD52	
SH2D2A	PIK3CD	SLC9A11	PDLIM4	TMBIM4	
NTRK1	C19orf45	ANKRD45	FSTL4	IFFO1	
PEAR1	EVI5L	UCP3	PCDHA2	IRAK3	
ARHGEF11	ZNF560	SNORD47	PCDHA1	LPAR5	
MIR765	MACROD2	GAS5	PCDHA3	ACRBP	
ETV3L	NKX2-4	SNORD81	PCDHA4	DHDDS	
TNKS1BP1	NKX2-2	SNORD80	DIAPH1	HMGN2	
P2RX3	PAX1	SNORD78	ARAP3	RPS6KA1	
SLC43A3	FOXA2	SNORD79	SPRY4	MIR1976	
RTN4RL2	SSTR4	P4HA3	LPCAT1	GNB3	
SLC43A1	TMEM90B	ARRB1	PDGFRB	USP5	
SERPING1	VSX1	TNN	SYNPO	CDCA3	
MIR130A	MIR663	RPS3	ADRA1B	LRRC23	
YPEL4	ProSAPiP1	SNORD15B	RNF44	ENO2	
BTBD18	C20orf70	KIAA0040	UNC5A	ARID1A	
CTRC	RBM12	TNR	FGFR4	PTPN6	
FCRL3	CPNE1	PADI1	PRELID1	KCNMB4	
CD1D	SNORA39	PADI3	RAB24	GPN2	
CD1E	SNHG11	PADI4	F12	GPATCH3	
OR10T2	ADRA1D	LRRC32	RUFY1	C1RL	
PHRF1	GDAP1L1	PAK1	GFPT2	LOC283314	
PYHIN1	PKIG	AQP11	FLT4	SLC9A1	
DTX4	RBPJL	KCTD14	SUB1	NINJ2	
AIM2	MATN4	NDUFC2	AHRR	MAP3K6	
AGMAT	TNNC2	USP35	EXOC3	WASF2	
CADM3	MMP9	KCTD21	ESM1	AHDC1	
DARC	SLC12A5	ODZ4	ELOVL7	FGR	
PATL1	SLC13A3	CEND1	CMYA5	MIR1252	
SLAMF8	SLC23A2	FAM163A	SSBP2	SYT1	
MS4A3	APCDD1L	QSOX1	ZDHHC11	PAWR	
CCDC19	GNASAS	LHX4	FAM81B	FOXJ2	
KCNJ10	GNAS	KIAA1614	ARMC2	C1orf38	
LOC728661	TCF15	PNPLA2	CCDC162	ZNF705A	
CDK11B	COL9A3	C1orf21	C6orf105	FAM90A1	
PEA15	STMN3	FAM129A	FABP7	GMEB1	
PLEKHM2	NCRNA00176	TMEM52	PHACTR1	PLXNC1	
MS4A15	SCRT2	CCDC83	CD83	NEDD1	
CD84	BMP2	TSPAN4	PCMT1	SLC25A3	
SLAMF1	FAM110A	ME3	RAET1E	PRDM16	
SLC25A34	C20orf103	RPL27A	SYNE1	NALCN	
ZP1	RSPO4	SNORA45	RGS17	EFNB2	
TMEM132A	KLF11	ST5	FNDC1	IRS2	
TMEM82	FHL2	GRM5	PARK2	COL4A1	
SLC15A3	UXS1	PAX7	GMDS	COL4A2	
CD5	ST6GAL2	NRIP3	RPS6KA2	RAB20	
FBLIM1	NOL10	SCUBE2	TCP10	CARS2	
VWCE	ATP6V1C2	ALDH4A1	MLLT4	ANKRD10	
KLHDC9	10-9__	AP2A2	SMOC2	ARHGEF7	
USP21	ANKRD57	DENND5A	FAM120B	C13orf35	
PPOX	ACOXL	GLRX2	KIF13A	ATP11A	
B4GALT3	PAX8	MAML2	POM121L2	MCF2L	
TMEM216	LOC440839	AKR7L	GPX5	F10	
NDUFS2	C21orf99	AKR7A3	TRIM27	TMCO3	
ADAMTS4	LPIN1	AKR7A2	OR2H2	ATP4B	
SDHC	EN1	PQLC2	MOG	GRK1	
LOC642502	SCTR	DENND1B	TRIM40	RASA3	
SYT7	NCAM2	NR5A2	TRIM26	UPF3A	
IRF7	CNTNAP5	GPR25	DDR1	GJB2	
FCGR2A	TRIB2	C1orf106	HCG22	GJB6	
DAGLA	PTPN18	KIF21B	PSORS1C1	HCRTR1	
DKFZP434K028	GRIK1	CSRP1	PSORS1C2	CRYL1	
C11orf9	TIAM1	IPO9	PSORS1C3	IL17D	
FCGR3B	GPR39	SHISA4	NFKBIL1	ZDHHC20	
FADS2	LYPD1	RNPEP	TNF	BAI2	
FCRLA	C21orf63	SYT2	LST1	PCOTH	
RAB3IL1	KCNE1	LOC148709	TNXB	MIPEP	
MUPCDH	SIM2	TMEM183B	NOTCH4	SPATA13	
FCRLB	KCNJ6	TMEM183A	C6orf10	ATP12A	
BEST1	PCP4	CHI3L1	COL11A2	TXLNA	
OLFML2B	LRP1B	PRELP	HSD17B8	LCK	
ASRGL1	C21orf29	SOX13	SLC39A7	HDAC1	
AHNAK	RPRM	ETNK2	ITPR3	USP12	
NOS1AP	KCNJ3	REN	SLC22A23	FLT3	
EEF1G	NR4A2	GOLT1A	ANKS1A	LOC100188949	
TUT1	TBR1	PLEKHA6	TULP1	KIAA1522	
MTA2	SLC4A10	UBXN10	PNPLA1	EEF1DP3	
EML3	SP5	NUAK2	FAM50B	ARHGEF16	
SH2D1B	DLX1	SLC41A1	TSPO2	SUGT1L1	
GANAB	ITGA6	PRKCZ	GUCA1A	C13orf30	
INTS5	SP9	IL24	TTBK1	SERP2	
BSCL2	EVX2	C1orf116	RCAN2	TSC22D1	
GNG3	HOXD12	PFKFB2	EXOC2	MEGF6	
NXF1	HOXD11	C4BPA	TRAM2	LRCH1	
DDR2	HOXD8	CR2	FARS2	ESD	
SNORD22	HOXD4	CR1	SMAP1	HTR2A	
SNORD31	HOXD3	CR1L	B3GAT2	MIR551A	
SNORD30	PDE11A	CAMK2N1	KCNQ5	LPAR6	
SNHG1	FRZB	G0S2	CNR1	RB1	
SNORD29	MYT1L	IRF6	BACH2	RCBTB2	
SLC3A2	FAM171B	GAS2L3	C7orf61	CAB39L	
SCT	GULP1	SYT14	ACHE	RCBTB1	
SLC22A6	FLJ32063	CLEC12B	ZNHIT1	DLEU2	
ZBTB17	AOX1	MYBPC1	PLOD3	SERPINE3	
CCKBR	RHOB	DRAM1	MYL10	DHRS12	
LGALS12	NRP2	OLR1	CUX1	KIAA0319L	
RTN3	FZD5	GABARAPL1	C7orf50	TFAP2E	
CLCNKA	MAP2	CHST11	MIR339	EIF2C3	
C11orf95	PECR	KIAA1033	LAMB1	FAM176B	
C11orf84	TMEM169	RFX4	CTTNBP2	STK40	
MARK2	TBX1	RIC8B	CADPS2	LOC388588	
RCOR2	CCDC108	BTBD11	FLNC	KLF12	
MACROD1	ABCB6	STYK1	LOC407835	CLN5	
FAM131C	GLB1L	PWP1	PLXNA4	RNF219	
STIP1	PTPRN	CMKLR1	LOC441294	RBM26	
FERMT3	AIFM3	SSH1	CTAGE6	LOC100133612	
DNAJC4	YPEL1	SVOP	ZNF425	SF3A3	
PPP1R14B	PAX3	KCTD10	ZNF212	FHL3	
PRDX5	CCDC140	C12orf34	ZNF783	CLDN10	
CCDC88B	RAB36	TRPV4	RARRES2	MBNL2	
RPS6KA4	BCR	RAD9B	ABP1	STK24	
SLC22A12	C22orf45	VPS29	NUB1	CCDC85C	
APBB1	UPB1	PPP1CC	PRKAG2	EVL	
NRXN2	TMEM211	CCDC63	PTPRN2	MIR889	
RASGRP2	SPHKAP	CUX2	WDR60	MIR539	
PYGM	C22orf27	ALDH2	LOC154822	PPP2R5C	
SF1	B3GNT7	NAA25	MAD1L1	ANKRD9	
EHD1	ECEL1P2	OAS3	IQCE	CDC42BPB	
PBX1	ECEL1	TBX5	AOAH	MARK3	
EPHA2	SYN3	TBX3	PRKAR1B	XRCC3	
MIR194-2	APOL6	RD3	ELN	PPP1R13B	
MIR192	RBM9	HRK	HIP1	KIF26A	
ATG2A	GBX2	TESC	CCL26	INF2	
PPP2R5B	TRIOBP	SRRM4	HEATR2	JAG2	
SNX15	GALR3	HSPB8	SEMA3E	BRF1	
NAALADL1	BAIAP2L2	CIT	GRM3	PACS2	
POLA2	LRRFIP1	PXN	ADAP1	MTA1	
CDC42EP2	KLHL29	C12orf27	TMEM130	SCMH1	
DPF2	KLHL30	KDM2B	CPSF4	TMEM55B	
LMX1A	C2orf54	WDR66	SPDYE3	PNP	
MIR612	PPPDE2	LRRC43	RP1L1	RNASE11	
LTBP3	XRCC6	GPR109B	KLHL38	NDRG2	
ARHGEF19	STK25	HIP1R	PVT1	FLJ10357	
FOSL1	SCUBE1	VPS37B	TG	SLC7A7	
TSGA10IP	SAMM50	ABCB9	NDRG1	REM2	
CST6	UPK3A	SETD8	TRAPPC9	CEBPE	
UCK2	SMC1B	GTF2H3	EIF2C2	SLC7A8	
CNIH2	RIBC2	EIF2B1	DENND3	PPP1R3E	
YIF1A	C2orf39	LRP6	NCRNA00051	DHRS4	
TMEM151A	OTOF	DNAH10	TSNARE1	C14orf167	
RIN1	TRIM54	FAM101A	BAI1	LTB4R	
PELI3	UCN	NCOR2	PSCA	LTB4R2	
DPP3	YPEL5	MANSC1	TOP1MT	CIDEB	
BBS1	SRD5A2	NENF	MAPK15	ADCY4	
ZDHHC24	LTBP1	APOLD1	SCRIB	CTSG	
ACTN3	CYP1B1	DDX47	MIR937	GZMH	
TAF10	GALM	C1orf86	PLEC1	GUCA2A	
CCDC87	LOC100271715	PIWIL1	PARP10	G2E3	
CCS	LOC375196	GPR133	OPLAH	YBX1	
SPTBN2	C2orf34	GALNT9	KIAA1688	SLC2A1	
DCHS1	SIX3	FBRSL1	DLGAP2	WDR65	
PC	SIX2	P2RX2	ARHGEF10	PTPRF	
LRFN4	CCDC85A	PROX1	LZTS1	B4GALT2	
SYT12	SOX11	PTPN14	DOK2	RPL36AL	
ILDR2	LOC100132215	RERG	EPB49	ARF6	
KDM2A	PCBP1	SKI	KIF13B	C14orf182	
ADRBK1	VAX2	DERA	GSR	RNF220	
DUSP27	ANKRD53	MGST1	PROSC	TMEM53	
ANKRD13D	CYP26B1	ECE1	STAR	NIN	
SSH3	NOTO	LMO3	KIAA0146	ABHD12B	
C1orf144	LBX2	FBXL14	ASPH	RPS8	
LOC100130987	TLX2	ALPL	PREX2	SNORD38A	
CLCF1	LOXL3	CACNA2D4	SPAG11B	PTGER2	
RAD9A	CD8A	RAP1GAP	LOC157627	GNPNAT1	
PPP1CA	VWA3B	USP48	TRIM14	DDHD1	
TBC1D10C	CNGA3	MOSC2	NANS	SAMD4A	
ATPGD1	C2orf55	MOSC1	DMRT2	MUTYH	
RPS6KB2	NFKBIZ	HLX	TAL2	TOE1	
PTPRCAP	SLC6A11	LDLRAD2	COL27A1	PRDX1	
CORO1B	TAGLN3	PYROXD1	TNC	DHRS7	
TMEM134	SLC9A10	HSPG2	01-12__	IPP	
AIP	ZDHHC23	SUSD4	ASB6	ESR2	
PITPNM1	LSAMP	CAPN8	PRRX2	PLEKHH1	
CABP2	C3orf15	CAPN2	LAMC3	RAD51L1	
NUDT8	SYN2	TP53BP2	COL5A1	ACTN1	
TBX10	CASR	WDR26	QSOX2	KIAA0247	
NECAP2	ADCY5	BCAT1	INPP5E	KNCN	
UNC93B1	KALRN	CASC1	NOTCH1	MOBKL2C	
ALDH3B1	IQSEC1	KRAS	NDOR1	ATPAF1	
CHKA	SRPRB	LBR	EHMT1	SIPA1L1	
LRP5	SLCO2A1	EPHX1	CACNA1B	NUMB	
CROCCL2	ESYT3	SSPN	DNAI1	C14orf43	
SFT2D2	ZIC4	MIXL1	CCL21	C14orf45	
SAPS3	ZIC1	ITPKB	AQP7P1	ENTPD5	
GAL	IGSF10	CACNA1C	AQP7P2	PROX2	
XCL2	MBNL1	ARNTL2	ROR2	NEK9	
MTL5	LOC401093	SNAP47	CT45A6	BATF	
MRGPRD	SGEF	JMJD4	BMX	TTLL5	
MRGPRF	MME	WNT3A	YY2	TAL1	
NADK	TRIM59	C1orf35	MBTPS2	FLRT2	
MYEOV	B3GALNT1	GJC2		GPR65	
ATP1B1	C3orf57	OBSCN		CALM1	
DEAF1	PEX5L	TRIM11		SLC24A4	
NBPF1	SOX2OT	TRIM17		RIN3	
CCND1	SOX2	HIST3H2BB		BTBD7	
ORAOV1	MCF2L2	RHOU		KIAA1409	
ZNF215	B3GNT5	FKBP4		CHSY1	
C1orf156	ECE2	ACTA1		OR4F6	
C1orf112	C3orf59	TULP3		CYFIP1	
ESPNP	FAM43A	GALNT2		ATP10A	
PPFIA1	LOC348840	TSPAN11		GABRB3	
CTTN	THRB	TRIM67		GABRA5	
SHANK2	LRRN1	EXOC8		APBA2	
EPS8L2	MYRIP	FAM60A		FAM189A1	
DHCR7	ENTPD3	EGLN1		ZCCHC11	
KRTAP5-7	CCK	TSNAX-DISC1		DKFZP434L187	
KRTAP5-8	ZNF662	TSNAX		FAM159A	
KRTAP5-9	PTH1R	DENND5B		SLC12A6	
KRTAP5-10	AMIGO3	DISC1		PODN	
KRTAP5-11	RNF123	C12orf72		LTK	
BAT2L2	SEMA3B	EPHB2		TYRO3	
IL18BP	CACNA2D2	BICD1		MGA	
METTL13	WNT5A	PKP2		PLA2G4E	
LRTOMT	DNAH12	TSPAN9		GANC	
DNM3	C3orf67	KCNK1		MAP1A	
MIR199A2	FEZF2	LUZP1		MFAP1	
CLPB	SYNPR	PEX10		FRMD5	
PDE2A	GRM7	LYST		PATL2	
ARAP1	PDZRN3	MIR1537		TRIM69	
CROCC	MIR1324	NID1		DUOX2	
ATG16L2	LMCD1	GPR137B		SHF	
P2RY6	VGLL3	TCEA3		SSBP3	
RELT	SRGAP3	EFCAB4B		DUT	
PLEKHB1	TACR3	SLC2A13		GALK2	
SLC9A11	LEF1	OPN3		C1orf175	
DNAJB13	LOC641518	MYOM3		TNFAIP8L3	
UCP2	COL25A1	C1orf100		CYP19A1	
UCP3	PITX2	C1orf101		LYSMD2	
SNORD47	HS3ST1	PPPDE1		DHCR24	
GAS5	ARSJ	FGF23		ZNF280D	
SNORD81	LOC285419	IL28RA		LIPC	
SNORD80	UCP1	KIF26B		ANXA2	
SNORD78	FREM3	FGF6		NARG2	
SNORD79	POU4F2	GRHL3		RAB8B	
SERPINC1	EDNRA	ZNF695		FBXL22	
RC3H1	TRIM2	SLC38A4		RBPMS2	
P4HA3	SFRP2	C1orf229		MAP2K1	
CHRDL2	DCHS2	NIPAL3		SNORD18A	
PADI2	VEGFC	ZNF496		RPL4	
SLCO2B1	MGC45800	P11		SNORD18B	
CACYBP	C4orf38	COL2A1		SNORD16	
TNN	PDLIM3	PFKM		SMAD3	
ARRB1	FAT1	SH3BP5L		MAP2K5	
MIR326	ZFP42	KCNA6		CLN6	
RPS3	SLC34A2	TUBA1B		CALML4	
SNORD15B	LRPAP1	C1QL4		C15orf28	
KIAA0040	UCHL1	KCNH3		ANP32A	
TNR	PHOX2B	NCKAP5L		PAQR5	
UVRAG	CORIN	AQP5		HEXA	
PADI1	MSX1	AQP6		ARIH1	
PADI3	SPATA18	SMARCD1		ADPGK	
PPFIBP2	ZNF718	GPD1		STOML1	
RFWD2	ZNF595	C12orf62		CYP11A1	
PADI4	ARL9	SMAGP		ULK3	
GUCY2E	CRMP1	SLC4A8		COMMD4	
TSKU	JAKMIP1	ACVRL1		SNUPN	
ACER3	EPHA5	GRASP		PSTPIP1	
MYO7A	PF4V1	RUNX3		LINGO1	
GNB1	CXCL5	KRT80		ACSBG1	
RCC2	CDKL2	KRT7		ARNT2	
KCTD14	ANKRD56	KRT72		FAM108C1	
NDUFC2	CPLX1	KRT8		KIAA1199	
USP35	AFAP1	KRT18		IL16	
SEC16B	ANXA3	EIF4B		WHAMM	
CEND1	ABLIM2	TENC1		SLC28A1	
ARHGEF10L	FAM175A	IGFBP6		AKAP13	
ABL2	NKX6-1	ZNF740		ISG20	
LRDD	DRD5	ITGB7		ACAN	
KIAA1614	LVRN	RARG		TACSTD2	
IER5	SEMA6A	PFDN5		SEMA4B	
TUB	MEGF10	C12orf10		CRTC3	
SNORA52	08-9__	MAP3K12		MAN2A2	
RPLP2	TCF7	ATP5G2		SLCO3A1	
PNPLA2	PITX1	HOXC13		CHD2	
RGS16	NEUROG1	HOXC10		SSTR5	
EFCAB4A	SPOCK1	HOXC4		LOC146336	
C1orf14	KLHL3	HOXC5		C1QTNF8	
LAMC1	PCDHA2	HOXC6		TXNDC11	
SMG7	PCDHA1	FLJ12825		TNFRSF17	
APOBEC4	PCDHA3	LOC100240735		CACNA1H	
RGL1	PCDHA7	ZNF385A		TPSB2	
GLT25D2	PCDHA12	ITGA5		TPSAB1	
C1orf21	PCDHA6	CCDC77		SHISA9	
DLG2	PCDHAC1	NTF3		BAIAP3	
FAM129A	PCDHA10	ITGA7		MIR365-1	
RNF2	PCDHA4	BLOC1S1		C16orf91	
TMEM52	PCDHA11	GDF11		ABCC6P2	
CCDC89	PCDHA8	MMP19		CLCN7	
SYTL2	PCDHA9	ERBB3		RRN3	
TSPAN4	PCDHA13	ANKRD52		TELO2	
PICALM	PCDHA5	CS		C16orf45	
CCDC81	PCDHB3	B4GALNT3		IFT140	
ME3	PCDHB4	GPR182		TMEM204	
PRSS23	PCDHB7	LRP1		MYH11	
IGSF21	PCDHB9	R3HDM2		ABCC1	
RPL27A	PCDHB10	KIF5A		CRAMP1L	
ST5	PCDHGA2	PIP4K2C		XYLT1	
CTSC	PCDHGA1	DTX3		MAPK8IP3	
KIAA1751	PCDHGA3	CYP27B1		NME3	
NAALAD2	PCDHGA4	AVIL		MRPS34	
NRIP3	PCDHGA6	LDLRAP1		EME2	
SCUBE2	PCDHGA5	MAN1C1		SMG1	
CHID1	PCDHGB1	SEPN1		TMC7	
ALDH4A1	PCDHGA7	FAM54B		ITPRIPL2	
MTNR1B	PCDHGB2	PAQR7		NOXO1	
DENND5A	PCDHGB4	STMN1		TSC2	
TMEM41B	PCDHGB3	FAM19A2		LOC100271836	
MIR1304	SLC6A3	CD9		METTL9	
SNORA8	ABLIM3	PLEKHG6		IGSF6	
SNORD5	SLC36A2	TNFRSF1A		RNPS1	
SNORA18	GALNT10	TBK1		ABCA3	
TAF1D	HAND1	GRRP1		RBBP6	
PANX1	FBXL7	CNKSR1		AMDHD2	
AMOTL1	SOX30	CATSPER4		ATP6V0C	
GABRD	EBF1	MSRB3		RNF207	
MAML2	GABRA1	NCAPD2		NSMCE1	
