IDH2hyper	WT1hyper	CEBPahyper	TET2Hyper	IDH1Hyper	DNMT3Ahyper
HSPA14	CALCA	CCNY	LCE1D	PIPSL	MPO
NMT2	DENND2C	DIP2C	S100A5	SORBS1	LOC146880
CUBN	NGF	BMS1	SLC27A3	ENTPD1	HRNBP3
VIM	NHLH2	RASGEF1A	PMVK	DNTT	RPTOR
SLC39A12	FBXO44	CXCL12	OR8H3	DHDPSL	BAIAP2
PIP4K2A	FBXO2	RASSF4	ARHGEF2	MARVELD1	NXN
ARMC3	MAD2L2	ANUBL1	OR5T1	APITD1	AATK
OTUD1	MYOD1	FAM21C	MIB2	FAM102B	P4HB
KIAA1217	KCNC1	GPRIN2	BCAN	C1orf59	TBCD
PRTFDC1	MTHFR	LOC100216001	SLAMF8	GPSM2	MYH10
C10orf50	DBX1	PPYR1	MS4A3	SARS	ARHGAP28
PDSS1	GAS2	FAM35B2	PEA15	CELSR2	NFATC1
ABI1	CD81	GDF10	C11orf64	GSTM4	PPAN-P2RY11
LOC387646	NLRP6	AKR1C1	SLAMF1	GSTM5	P2RY11
ARMC4	KCNQ1DN	C10orf72	FBLIM1	MUC6	PPAN
SVIL	CDKN1C	AKR1C2	NDUFS2	CASP1	FBXW9
MIR938	OSBPL5	SLC18A3	FCRLB	CARD16	EFNA2
KIAA1462	PAX6	CHAT	CCKBR	MUC2	CALR
MAP3K8	WIT1	NET1	CLCNKA	KCNA10	WIZ
PFKP	LDLRAD3	ASB13	SLC22A12	C11orf52	TCF3
DIP2C	B4GALNT4	PHYHIPL	NRXN2	CD53	AP1M1
ITGB1	LRRC4C	CCDC6	EPHA2	SIK3	MAST3
PARD3	MIR129-2	PFKFB3	ATG2A	BACE1	FXYD1
CREM	ALX4	C10orf107	TMEM151A	DENND2D	PSG2
KLF6	C1orf70	ARID5B	SPTBN2	IL10RA	SNRNP70
CSGALNACT2	LOC388692	ZNF365	ADRBK1	CD3D	KDM4B
RASGEF1A	LOC100132111	ADO	MRGPRD	TREH	KLK4
FXYD4	C2CD4D	DNA2	ZNF215	CXCR5	PTPRS
HNRNPF	TCHH	HK1	KRTAP5-7	BCL9L	ELANE
ZNF487	LCE2A	TACR2	KRTAP5-9	TTLL10	RPRD1B
ZNF239	S100A13	TSPAN15	IL18BP	C2CD2L	C20orf29
CXCL12	S100A1	AIFM2	PDE2A	CBL	GTPBP5
RASSF4	ATP8B2	NPFFR1	P2RY6	USP2	TGFBRAP1
LOC100133308	TDRD10	EIF4EBP2	PLEKHB1	POU2F3	SH3RF3
OR13A1	SHE	ADAMTS14	TNR	ADORA3	C21orf34
08-3__	ADAM15	UNC5B	ODZ4	SORL1	MIR125B2
SYT15	EFNA4	CDH23	FAM163A	RAP1A	AGPAT3
GPRIN2	TRIM46	C10orf105	ARHGEF10L	MICALCL	SPATS2L
LOC728643	SCAMP3	SPOCK2	DLG2	OR6M1	SLC11A1
FAM35B2	FAM189B	DDIT4	CHID1	OR10G8	TTLL4
tAKR	RUSC1	CBARA1	UBR4	MUC5B	CCDC116
MAPK8	C1orf104	SFMBT2	AP2A2	SLC37A2	ASCC2
ARHGAP22	BCAN	MYST4	PRKCZ	KIRREL3	TRIOBP
AKR1C1	NTRK1	ITIH5	ARL8A	TEAD1	LRRFIP1
C10orf72	C1orf92	LOC283050	PLA2G2E	FLI1	HDAC4
AKR1C2	TNKS1BP1	FLJ45983	PLA2G2A	TMEM45B	MKL1
CHAT	SYT7	GATA3	PIK3C2B	NFRKB	PACSIN2
PRKG1	PRKCDBP	ZCCHC24	MFSD4	TOLLIP	PLXNB2
UCN3	DRD4	DYDC1	IL19	APLP2	DNMT3A
C10orf18	SLC22A11	DYDC2	IL24	ADAMTS8	TTC7A
GDI2	APBB1	C10orf58	CD34	RHOC	LOXL3
IL2RA	LMX1A	FAM190B	CDA	LOC100128239	PROM2
PFKFB3	FAM78B	GRID1	CMKLR1	RSBN1	GHRLOS
ARID5B	ILDR2	LDB3	MYL2	BCL2L15	C3orf42
EGR2	ESPNP	SNCG	DTX1	PDE3B	VGLL4
REEP3	DNM3	C10orf116	PLBD2	PSMA1	EPHB3
ATOH7	STARD10	AGAP11	TESC	BRSK2	TM4SF19
HK1	PLEKHB1	PAPSS2	NOS1	TRIM33	IL5RA
TACR2	ANKRD45	ANKRD22	HSPB8	HCCA2	TRIM71
COL13A1	PADI2	ACTA2	KDM2B	LOC338651	SNRK
H2AFY2	TNN	ANKRD1	HIP1R	KRTAP5-2	LARS2
EIF4EBP2	FAM5B	HHEX	CCDC92	VANGL1	ITIH1
NODAL	NDUFC2	CYP26C1	SCARB1	KRTAP5-3	UFSP2
PRF1	ODZ4	MYOF	TMEM132B	C11orf58	FAT1
ADAMTS14	CEND1	GPR120	TMEM132D	PLEKHA7	RBPJ
C10orf27	NPHS2	ENTPD1	GPRC5A	FAM99B	C4orf10
SGPL1	TDRD5	SLIT1	GPR133	CD58	NOP14
UNC5B	QSOX1	FRAT1	SFRS8	KCNJ11	LRPAP1
SFMBT2	STX6	MMS19	GALNT9	PTGFRN	MAN2B2
CDH23	ACTL8	ANKRD2	GRIN2B	C1orf187	S100P
C10orf105	RIC3	AVPI1	WNT5B	LDHC	SLC12A7
C10orf54	FAM181B	MARVELD1	SLCO1A2	SPTY2D1	P4HA2
CHST3	TSPAN4	CRTAC1	SKI	LSP1	LPCAT1
SPOCK2	TMEM52	FRRS1	ABCC9	NPPB	NSUN2
NUDT13	PAX7	AGL	WNT4	TNNT3	JARID2
DNAJC9	NAALAD2	COL11A1	BCAT1	UBE2J2	PNLDC1
MYOZ1	CCDC67	APITD1	LYRM5	LOC100128842	PRR18
SYNPO2L	AKR7L	C1orf159	CACNA1C	NAV2	RPS6KA2
CAMK2G	AKR7A3	CORT	CABC1	HTATIP2	ZNRD1
PLAU	AKR7A2	PEX14	C1QC	PRMT3	NCRNA00171
VCL	PQLC2	CASZ1	EPHB2	NELL1	EHMT2
C10orf11	C1orf53	PRMT6	PGBD5	LOC647121	ZBTB12
KCNMA1	LHX9	MYBPHL	CAPN9	SCNN1D	HLA-DRA
DLG5	PRKCZ	SORT1	TEAD4	TNFRSF8	ANKS1A
LOC100128292	NBL1	CYB561D1	TSPAN9	TSSC4	PNPLA1
LOC283050	GPR25	PGR	EFCAB4B	TRPM5	BACH2
ZMIZ1	SHISA4	GSTM5	RGS7	VPS13D	LEP
ZCCHC24	ASCL1	MUC6	IL22RA1	TAS1R3	IMPDH1
SFTPA1	RFX4	GSTM3	NELL2	KCNQ1OT1	EZH2
ANXA11	PWP1	C1orf127	KIF26B	KCNQ1	ZNF425
MAT1A	C12orf34	MIR429	GRHL3	PRAMEF11	SMARCD3
TSPAN14	TRPV4	CASP12	ZNF692	MXRA8	PRKAG2
FAM190B	LHX5	LYVE1	FAIM2	NAP1L4	PTPRN2
LARP4B	TBX5	ALX3	LARP4	MPPED2	MAD1L1
MIR346	WDR66	MUC2	KRT6A	CARS	AOAH
GRID1	LRP6	KCNC4	ZNF385A	IFITM1	RNF216
BMPR1A	TMEM132C	CUL5	LRP1	C11orf41	CALN1
MMRN2	SLC15A4	TTLL10	MIR1228	ABTB2	LOC340357
SNCG	GLT1D1	C11orf93	HMGA2	CD44	FAM49B
FAM25A	GPRC5A	C11orf92	IL22	TMEM88B	EIF2C2
PTEN	PROX1	BTG4	C1orf38	PRR5L	TOP1MT
RNLS	LMO3	MIR34C	DDX12	VWA1	ZC3H3
STAMBPL1	ALPL	MIR34B	PRDM16	PGAP2	SCRIB
SLC16A12	RAP1GAP	C11orf88	COL4A2	RHOG	PLEC1
CPEB3	ST8SIA1	SIK2	C13orf35	PRDM2	SLC39A4
IDE	EPHX1	HSPB2	ATP11A	MIR670	ARHGEF10
HHEX	PTHLH	CRYAB	MCF2L	TRIM21	CSGALNACT1
MYOF	OBSCN	DIXDC1	F7	POLR3GL	EIF4EBP1
GPR120	HIST3H2A	SRM	RASA3	ANKRD34A	ZMAT4
PIPSL	HIST3H2BB	TIMM8B	GJA3	CRY2	ANK1
PDLIM1	KIAA1804	SDHD	CRYL1	C11orf94	PHYHD1
ALDH18A1	SYT10	KCNA3	BAI2	CREB3L1	C9orf9
ENTPD1	GNG4	TTC12	LOC100188949	DGKZ	SARDH
BLNK	NID1	DRD2	STARD13	F2	C9orf86
TLL2	FMN2	USP28	ARHGEF16	BCL9	EHMT1
SLIT1	CNTN1	ZBTB16	HMGB4	NR1H3	IGSF1
RRP12	PRICKLE1	CD53	CSMD2	SLC39A13	SLITRK4
PGAM1	IL28RA	SIK3	RCBTB2	FAM180B	SLC6A8
UBTD1	DBX2	SIDT2	MEGF6	C1QTNF4	
DHDPSL	DHH	BACE1	DLEU2	PTPRJ	
AVPI1	AQP5	DSCAML1	GJB3	PTDSS2	
MARVELD1	SLC4A8	FXYD2	OLFM4	LOC645166	
ZFYVE27	KRT72	CHI3L2	TP73	PLEKHO1	
CRTAC1	ITGB7	FXYD6	GRIK3	LASS2	
GOLGA7B	C12orf10	TMPRSS13	RSPO1	OR52A4	
S1PR1	HOXC13	TMPRSS4	FARP1	TNRC4	
KIF1B	HOXC12	MPZL2	STK24	LINGO4	
PGD	HOXC11	UBE4A	COL9A2	THEM5	
APITD1	HOXC9	ATP5L	C14orf68	S100A11	
DFFA	FLJ12825	TMEM25	PPP2R5C	KIAA1026	
PEX14	NDUFA4L2	C11orf60	CKB	KPRP	
CASZ1	STAC3	PHLDB1	XRCC3	LCE1F	
NTNG1	DTX3	TREH	INF2	S100A9	
VAV3	GEFT	BCL9L	KIAA0284	S100A8	
FAM102B	SLC26A10	UPK2	JAG2	S100A6	
C1orf59	CYP27B1	FOXR1	EDN2	SLC27A3	
STXBP3	STMN1	TRAPPC4	RNASE1	IL6R	
AKNAD1	FAM19A2	HINFP	ZNF219	ADAR	
KIAA1324	AVPR1A	ABCG4	OR5AU1	OR51I1	
CELSR2	C12orf56	C1QTNF5	CEBPE	C1orf126	
MYBPHL	GRRP1	MFRP	MYH6	KCNN3	
CYB561D1	CNKSR1	USP2	MIR208A	PMVK	
AP2A2	CD4	PVRL1	NFATC4	ZBTB7B	
GPR61	LOC283392	TMEM136	SLC2A1	RAG1AP1	
MUC6	TRHDE	DKK3	PTPRF	GBAP1	
GSTM5	CD164L2	GRIK4	C1orf228	RUSC1	
MMP3	MYF6	SORL1	TMX1	C1orf104	
